"experiment","tray","row","column","block","genotype"
"crosses",10,1,4,55,"1158"
"crosses",10,1,5,55,"6125"
"crosses",10,1,6,55,"6092 x 1158"
"crosses",10,1,7,55,"8231 x 6024"
"crosses",10,1,8,55,"6092"
"crosses",10,1,9,55,"6024"
"crosses",10,1,10,55,"6092 x 6024"
"crosses",10,1,11,55,"8231 x 1158"
"crosses",10,2,1,56,NA
"crosses",10,2,2,56,"6092"
"crosses",10,2,3,56,"6092 x 1158"
"crosses",10,2,4,56,"8231 x 6024"
"crosses",10,2,5,56,"6125"
"crosses",10,2,6,56,"6125 x 1158"
"crosses",10,2,7,56,"8231 x 1158"
"crosses",10,2,8,56,"6092 x 6024"
"crosses",10,2,9,56,"8231"
"crosses",10,2,10,56,"6024"
"crosses",10,2,11,56,"1158"
"crosses",10,3,1,57,"6024"
"crosses",10,3,2,57,"1158"
"crosses",10,3,3,57,"6092"
"crosses",10,3,4,57,"8231 x 1158"
"crosses",10,3,5,57,"6092 x 6024"
"crosses",10,3,6,57,"8231 x 6024"
"crosses",10,3,7,57,"8231"
"crosses",10,3,8,57,"6125 x 1158"
"crosses",10,3,9,57,"6092 x 1158"
"crosses",10,3,10,57,"6125"
"crosses",10,3,11,57,NA
"crosses",10,4,1,58,NA
"crosses",10,4,2,58,"6092 x 6024"
"crosses",10,4,3,58,"6125 x 1158"
"crosses",10,4,4,58,"6024"
"crosses",10,4,5,58,"6092"
"crosses",10,4,6,58,"1158"
"crosses",10,4,7,58,"8231 x 6024"
"crosses",10,4,8,58,"6125"
"crosses",10,4,9,58,"6092 x 1158"
"crosses",10,4,10,58,"8231 x 1158"
"crosses",10,4,11,58,"8231"
"crosses",10,5,1,59,"6125 x 1158"
"crosses",10,5,2,59,"6092 x 6024"
"crosses",10,5,3,59,"6125"
"crosses",10,5,4,59,"6092"
"crosses",10,5,5,59,"8231"
"crosses",10,5,6,59,"8231 x 1158"
"crosses",10,5,7,59,"6024"
"crosses",10,5,8,59,"8231 x 6024"
"crosses",10,5,9,59,"6092 x 1158"
"crosses",10,5,10,59,"1158"
"crosses",10,5,11,59,NA
"crosses",10,6,1,60,"6024"
"crosses",10,6,2,60,"8231"
"crosses",10,6,3,60,"6092 x 6024"
"crosses",10,6,4,60,"8231 x 6024"
"crosses",10,6,5,60,"8231 x 1158"
"crosses",10,6,6,60,"6125"
"crosses",10,6,7,60,"6125 x 1158"
"crosses",10,6,8,60,"6092"
"crosses",10,6,9,60,"1158"
"crosses",10,6,10,60,NA
"crosses",10,6,11,60,"6092 x 1158"
"crosses",11,1,1,61,"6092 x 6024"
"crosses",11,1,2,61,"6092"
"crosses",11,1,3,61,"6125 x 1158"
"crosses",11,1,4,61,"6092 x 1158"
"crosses",11,1,5,61,"8231 x 1158"
"crosses",11,1,6,61,"8231 x 6024"
"crosses",11,1,7,61,"6024"
"crosses",11,1,8,61,"1158"
"crosses",11,1,9,61,"8231"
"crosses",11,1,10,61,NA
"crosses",11,1,11,61,"6125"
"crosses",11,2,1,62,"6125"
"crosses",11,2,2,62,"1158"
"crosses",11,2,3,62,"6092 x 6024"
"crosses",11,2,4,62,"6092 x 1158"
"crosses",11,2,5,62,"8231 x 6024"
"crosses",11,2,6,62,"6092"
"crosses",11,2,7,62,"6125 x 1158"
"crosses",11,2,8,62,"8231 x 1158"
"crosses",11,2,9,62,"6024"
"crosses",11,2,10,62,NA
"crosses",11,2,11,62,"8231"
"crosses",11,3,1,63,"8231 x 1158"
"crosses",11,3,2,63,"6024"
"crosses",11,3,3,63,"8231 x 6024"
"crosses",11,3,4,63,"6092 x 6024"
"crosses",11,3,5,63,"6092 x 1158"
"crosses",11,3,6,63,"6092"
"crosses",11,3,7,63,"6125 x 1158"
"crosses",11,3,8,63,"8231"
"crosses",11,3,9,63,"6125"
"crosses",11,3,10,63,"1158"
"crosses",11,3,11,63,NA
"crosses",11,4,1,64,"1158"
"crosses",11,4,2,64,"8231 x 6024"
"crosses",11,4,3,64,"6092"
"crosses",11,4,4,64,"8231"
"crosses",11,4,5,64,NA
"crosses",11,4,6,64,"6024"
"crosses",11,4,7,64,"6125"
"crosses",11,4,8,64,"6092 x 1158"
"crosses",11,4,9,64,"6125 x 1158"
"crosses",11,4,10,64,"8231 x 1158"
"crosses",11,4,11,64,"6092 x 6024"
"crosses",11,5,1,65,"6024"
"crosses",11,5,2,65,"6092 x 6024"
"crosses",11,5,3,65,"6125"
"crosses",11,5,4,65,"8231 x 1158"
"crosses",11,5,5,65,"6092 x 1158"
"crosses",11,5,6,65,"8231"
"crosses",11,5,7,65,NA
"crosses",11,5,8,65,"1158"
"crosses",11,5,9,65,"6125 x 1158"
"crosses",11,5,10,65,"8231 x 6024"
"crosses",11,5,11,65,"6092"
"crosses",11,6,1,66,"8231 x 1158"
"crosses",11,6,2,66,"6092 x 6024"
"crosses",11,6,3,66,"6092 x 1158"
"crosses",11,6,4,66,"8231"
"crosses",11,6,5,66,"8231 x 6024"
"crosses",11,6,6,66,NA
"crosses",11,6,7,66,"6125 x 1158"
"crosses",11,6,8,66,"6125"
"crosses",11,6,9,66,"6092"
"crosses",11,6,10,66,"6024"
"crosses",11,6,11,66,"1158"
"crosses",12,1,1,67,"8231 x 6024"
"crosses",12,1,2,67,"6125"
"crosses",12,1,3,67,"8231"
"crosses",12,1,4,67,"6024"
"crosses",12,1,5,67,"6092 x 1158"
"crosses",12,1,6,67,"1158"
"crosses",12,1,7,67,NA
"crosses",12,1,8,67,"6092 x 6024"
"crosses",12,1,9,67,"6125 x 1158"
"crosses",12,1,10,67,"8231 x 1158"
"crosses",12,1,11,67,"6092"
"crosses",12,2,1,68,"8231 x 1158"
"crosses",12,2,2,68,NA
"crosses",12,2,3,68,"6125 x 1158"
"crosses",12,2,4,68,"1158"
"crosses",12,2,5,68,"6092"
"crosses",12,2,6,68,"6092 x 6024"
"crosses",12,2,7,68,"8231"
"crosses",12,2,8,68,"6092 x 1158"
"crosses",12,2,9,68,"6024"
"crosses",12,2,10,68,"6125"
"crosses",12,2,11,68,"8231 x 6024"
"crosses",12,3,1,69,"1158"
"crosses",12,3,2,69,"6092"
"crosses",12,3,3,69,"6125"
"crosses",12,3,4,69,"6024"
"crosses",12,3,5,69,NA
"crosses",12,3,6,69,"6092 x 6024"
"crosses",12,3,7,69,"8231 x 1158"
"crosses",12,3,8,69,"8231 x 6024"
"crosses",12,3,9,69,"6092 x 1158"
"crosses",12,3,10,69,"6125 x 1158"
